"﻿""corpus""",preloaded/yorubawac15
,iṣẹ,34,8.990
,nipa,34,8.200
,li,112,7.980
,ìwa,14,6.580
,lí,10,8.290
,pẹlu,17,6.930
,odi,9,7.750
,ogo,12,6.220
,ọwọ,7,6.970
,nfi,7,7.350
,ijọba,11,7.960
,gẹgẹ,16,5.760
,gbọdọ,9,5.690
,iṣe,6,6.300
,ọrun,10,5.640
,fi,89,6.960
,nitori,11,6.080
,ati,46,6.610
,iyanu,6,5.460
,titobi,5,5.380
,lọwọ,6,6.680
,pipe,5,7.180
,ọtún,5,5.240
,Nipa,5,7.100
,aye,8,5.200
,ma,21,5.190
,awa,11,5.180
,agbara,8,5.170
,bikoṣe,5,5.100
,ani,7,5.080
,aiye,7,5.060
,nitoripe,6,5.010
,gbogbo,30,6.130
,pelu,5,5.950
,lo,14,5.940
,bi,21,5.770
,ninu,19,5.720
,gba,8,5.530
,ni,87,5.500
,gbà,10,6.340
,nla,22,8.140
,jù,13,7.540
,iraja,5,7.420
,lati,60,7.290
,rẹ,50,6.790
,ojo,7,6.790
,lori,15,6.710
,Ọlọrun,14,6.620
,re,13,6.180
,mu,14,6.080
,ju,6,6.060
,mi,35,5.940
,yi,10,5.930
,fun,34,5.700
,kan,23,5.400
,wọn,24,5.240
,nyin,6,5.090
,ninà,11,6.660
,ipá,7,5.790
,on,17,5.460
,apa,7,5.420
,dari,5,5.300
,igbala,5,5.260
,Ẹmí,5,5.240
,ina,5,5.190
,ẹmi,6,5.140
,ṣugbọn,10,5.040
,Nitori,6,5.020
,han,6,5.010
